id_actividadæid_tipo_componenteæCom_Lubætipo_consumidoæcantidad_consumida
899878æ25æGæ1    æ28æ
899931æ25æGæ1    æ22æ
899941æ25æGæ1    æ11æ
899947æ25æGæ1    æ14.5æ
899961æ25æGæ1    æ21.8æ
899962æ25æGæ1    æ14.04æ
900889æ25æGæ1    æ34æ
901147æ25æGæ1    æ67.6æ
901151æ25æGæ1    æ72æ
902218æ25æGæ1    æ59æ
902220æ25æGæ1    æ25æ
902255æ25æGæ1    æ55æ
902261æ25æGæ1    æ75æ
902274æ25æGæ1    æ34æ
902276æ25æGæ1    æ46æ
902278æ25æGæ1    æ50æ
902298æ25æGæ1    æ41æ
902314æ25æGæ1    æ65æ
902316æ25æGæ1    æ25æ
902329æ25æGæ1    æ48æ
902340æ25æGæ1    æ35æ
902348æ25æGæ1    æ40æ
902402æ25æGæ1    æ5æ
902403æ25æGæ1    æ46æ
902423æ25æGæ1    æ76æ
902433æ25æGæ1    æ58æ
902439æ25æGæ1    æ35æ
902460æ25æGæ1    æ63æ
902478æ25æGæ1    æ67æ
902497æ25æGæ1    æ66æ
902508æ25æGæ1    æ68æ
902514æ25æGæ1    æ29æ
902515æ25æGæ1    æ29æ
902517æ25æGæ1    æ56æ
903203æ25æGæ1    æ50æ
903222æ25æGæ1    æ20æ
903225æ25æGæ1    æ20æ
903236æ25æGæ1    æ40æ
903310æ25æGæ1    æ5.83æ
903314æ25æGæ1    æ11.179æ
903317æ25æGæ1    æ6.308æ
903322æ25æGæ1    æ12æ
903324æ25æGæ1    æ14æ
903328æ25æGæ1    æ13æ
904125æ25æGæ1    æ66æ
904126æ25æGæ1    æ42æ
904134æ25æGæ1    æ70æ
904136æ25æGæ1    æ63æ
904158æ25æGæ1    æ69æ
904160æ25æGæ1    æ15æ
904161æ25æGæ1    æ66æ
904165æ25æGæ1    æ65æ
904171æ25æGæ1    æ55æ
904182æ25æGæ1    æ38æ
904184æ25æGæ1    æ50æ
904187æ25æGæ1    æ50æ
904188æ25æGæ1    æ61æ
904191æ25æGæ1    æ35æ
904198æ25æGæ1    æ46æ
904200æ25æGæ1    æ35æ
904203æ25æGæ1    æ87æ
904204æ25æGæ1    æ8.45æ
904206æ25æGæ1    æ73æ
904207æ25æGæ1    æ62æ
904219æ25æGæ1    æ56æ
904225æ25æGæ1    æ53æ
904458æ16æGæ1    æ8æ
904460æ25æGæ1    æ60æ
904464æ25æGæ1    æ61æ
904466æ25æGæ1    æ58æ
904467æ25æGæ1    æ53æ
904485æ25æGæ1    æ47æ
904491æ25æGæ1    æ54æ
904492æ25æGæ1    æ47æ
904493æ25æGæ1    æ44æ
904494æ25æGæ1    æ50æ
904495æ25æGæ1    æ70æ
904498æ25æGæ1    æ36æ
904525æ25æGæ1    æ41æ
904543æ25æGæ1    æ50æ
904554æ25æGæ1    æ43æ
904558æ25æGæ1    æ30æ
904561æ25æGæ1    æ26æ
904819æ25æGæ1    æ54æ
904820æ25æGæ1    æ58æ
904826æ25æGæ1    æ12æ
904840æ25æGæ1    æ77æ
904842æ25æGæ1    æ70æ
904845æ25æGæ1    æ8.41æ
905043æ25æGæ1    æ74æ
905044æ25æGæ1    æ46æ
905046æ25æGæ1    æ59æ
905047æ25æGæ1    æ74æ
905048æ25æGæ1    æ52æ
905051æ25æGæ1    æ55æ
905055æ25æGæ1    æ37æ
905064æ25æGæ1    æ38æ
905065æ25æGæ1    æ41æ
905067æ25æGæ1    æ37æ
905068æ25æGæ1    æ58æ
905069æ25æGæ1    æ42æ
905070æ25æGæ1    æ41æ
905075æ25æGæ1    æ59æ
905077æ25æGæ1    æ25æ
905078æ25æGæ1    æ58æ
905080æ25æGæ1    æ59æ
905081æ25æGæ1    æ64æ
905101æ25æGæ1    æ50æ
905293æ25æGæ1    æ10æ
905295æ25æGæ1    æ12æ
905301æ25æGæ1    æ17æ
905304æ25æGæ1    æ15æ
905326æ25æGæ1    æ22æ
905328æ25æGæ1    æ46æ
905333æ25æGæ1    æ18æ
905338æ25æGæ1    æ35æ
905340æ25æGæ1    æ36æ
905343æ25æGæ1    æ66æ
905344æ25æGæ1    æ41æ
905346æ25æGæ1    æ43æ
905348æ25æGæ1    æ68æ
905352æ25æGæ1    æ46æ
905362æ25æGæ1    æ42æ
905373æ25æGæ1    æ43æ
905383æ25æGæ1    æ53æ
905481æ25æGæ1    æ45æ
905484æ25æGæ1    æ42æ
